timestamp_s,mode,voltage_V,current_A,power_W
920.95,TRANSIT,5.1519999504089355,1.5920000076293945,8.201984405517578
921.94,TRANSIT,5.168000221252441,1.2000000476837158,6.201600074768066
922.94,TRANSIT,5.168000221252441,1.1440000534057617,5.912191867828369
923.94,TRANSIT,5.168000221252441,1.128000020980835,5.829504013061523
924.94,TRANSIT,5.159999847412109,1.2640000581741333,6.522240161895752
925.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
926.94,TRANSIT,5.159999847412109,1.3040000200271606,6.728640079498291
927.94,TRANSIT,5.159999847412109,1.4479999542236328,7.471680164337158
928.94,DECISION,5.159999847412109,1.312000036239624,6.7699198722839355
929.94,DECISION,5.159999847412109,1.3519999980926514,6.976319789886475
930.94,DECISION,5.159999847412109,1.4639999866485596,7.5542402267456055
931.94,DECISION,5.1519999504089355,1.5920000076293945,8.201984405517578
932.96,DECISION,5.1519999504089355,1.5920000076293945,8.201984405517578
934.0,STANDBY,5.1519999504089355,1.5920000076293945,8.201984405517578
934.94,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
936.49,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
936.98,TRANSIT,5.159999847412109,1.4639999866485596,7.5542402267456055
937.94,TRANSIT,5.168000221252441,1.159999966621399,5.994880199432373
938.94,TRANSIT,5.168000221252441,1.1440000534057617,5.912191867828369
939.94,TRANSIT,5.168000221252441,1.0959999561309814,5.664127826690674
940.94,TRANSIT,5.168000221252441,1.1039999723434448,5.705471992492676
941.94,TRANSIT,5.168000221252441,1.1679999828338623,6.036223888397217
942.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
943.94,TRANSIT,5.1519999504089355,1.5119999647140503,7.78982400894165
944.94,TRANSIT,5.1519999504089355,1.600000023841858,8.243200302124023
947.57,DECISION,5.1519999504089355,1.559999942779541,8.03711986541748
947.95,DECISION,5.1519999504089355,1.6640000343322754,8.572928428649902
948.94,DECISION,5.1519999504089355,1.656000018119812,8.53171157836914
949.95,DECISION,5.1519999504089355,1.6480000019073486,8.490495681762695
950.94,STANDBY,5.1519999504089355,1.472000002861023,7.583744049072266
951.94,STANDBY,5.1519999504089355,1.600000023841858,8.243200302124023
953.1,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
953.94,TRANSIT,5.1519999504089355,1.6160000562667847,8.325632095336914
954.94,TRANSIT,5.1519999504089355,1.5520000457763672,7.995903968811035
955.94,TRANSIT,5.1519999504089355,1.5520000457763672,7.995903968811035
956.94,TRANSIT,5.159999847412109,1.3279999494552612,6.852479934692383
957.94,TRANSIT,5.1519999504089355,1.5360000133514404,7.9134721755981445
958.94,TRANSIT,5.159999847412109,1.4160000085830688,7.306560039520264
959.94,TRANSIT,5.159999847412109,1.4479999542236328,7.471680164337158
960.94,TRANSIT,5.168000221252441,1.1920000314712524,6.1602559089660645
961.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
962.94,DECISION,5.159999847412109,1.3760000467300415,7.100160121917725
963.94,DECISION,5.159999847412109,1.343999981880188,6.93503999710083
964.94,DECISION,5.159999847412109,1.4559999704360962,7.512959957122803
965.94,DECISION,5.1519999504089355,1.6319999694824219,8.408063888549805
966.94,DECISION,5.1519999504089355,1.496000051498413,7.70739221572876
968.06,STANDBY,5.159999847412109,1.4320000410079956,7.389120101928711
968.94,STANDBY,5.1519999504089355,1.5920000076293945,8.201984405517578
970.56,TRANSIT,5.1519999504089355,1.600000023841858,8.243200302124023
970.94,TRANSIT,5.1519999504089355,1.5839999914169312,8.160767555236816
971.95,TRANSIT,5.1519999504089355,1.600000023841858,8.243200302124023
972.95,TRANSIT,5.1519999504089355,1.5839999914169312,8.160767555236816
973.94,TRANSIT,5.1519999504089355,1.5679999589920044,8.078335762023926
974.94,TRANSIT,5.168000221252441,1.1679999828338623,6.036223888397217
975.94,TRANSIT,5.168000221252441,1.1440000534057617,5.912191867828369
976.94,TRANSIT,5.168000221252441,1.2239999771118164,6.325632095336914
977.94,TRANSIT,5.168000221252441,1.1679999828338623,6.036223888397217
978.94,TRANSIT,5.159999847412109,1.2719999551773071,6.5635199546813965
979.94,DECISION,5.159999847412109,1.4320000410079956,7.389120101928711
980.94,DECISION,5.159999847412109,1.3839999437332153,7.141439914703369
981.94,DECISION,5.1519999504089355,1.5360000133514404,7.9134721755981445
982.94,DECISION,5.1519999504089355,1.6080000400543213,8.284416198730469
983.94,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
985.49,STANDBY,5.1519999504089355,1.656000018119812,8.53171157836914
986.02,TRANSIT,5.1519999504089355,1.6720000505447388,8.614144325256348
991.88,TRANSIT,5.1519999504089355,1.6720000505447388,8.614144325256348
991.94,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
992.94,TRANSIT,5.1519999504089355,1.6080000400543213,8.284416198730469
994.04,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
994.94,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
996.02,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
998.14,DECISION,5.1519999504089355,1.6480000019073486,8.490495681762695
999.03,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
999.94,DECISION,5.144000053405762,1.687999963760376,8.683072090148926
1000.94,DECISION,5.1519999504089355,1.6640000343322754,8.572928428649902
1001.94,STANDBY,5.1519999504089355,1.4880000352859497,7.666175842285156
1002.94,STANDBY,5.1519999504089355,1.5199999809265137,7.831039905548096
1003.94,TRANSIT,5.1519999504089355,1.496000051498413,7.70739221572876
1004.94,TRANSIT,5.159999847412109,1.3919999599456787,7.182720184326172
1005.94,TRANSIT,5.159999847412109,1.3839999437332153,7.141439914703369
1006.94,TRANSIT,5.1519999504089355,1.4880000352859497,7.666175842285156
1007.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
1008.94,TRANSIT,5.168000221252441,1.2000000476837158,6.201600074768066
1009.94,TRANSIT,5.159999847412109,1.3919999599456787,7.182720184326172
1010.94,TRANSIT,5.159999847412109,1.3600000143051147,7.017600059509277
1011.94,TRANSIT,5.168000221252441,1.2480000257492065,6.449664115905762
1012.94,TRANSIT,5.159999847412109,1.3040000200271606,6.728640079498291
1013.94,DECISION,5.159999847412109,1.3680000305175781,7.058879852294922
1014.94,DECISION,5.159999847412109,1.2960000038146973,6.687359809875488
1015.94,DECISION,5.159999847412109,1.4320000410079956,7.389120101928711
1016.94,DECISION,5.1519999504089355,1.6160000562667847,8.325632095336914
1017.94,DECISION,5.1519999504089355,1.6080000400543213,8.284416198730469
1019.11,STANDBY,5.1519999504089355,1.600000023841858,8.243200302124023
1019.96,STANDBY,5.1519999504089355,1.600000023841858,8.243200302124023
1020.96,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
1021.95,TRANSIT,5.1519999504089355,1.6160000562667847,8.325632095336914
1022.98,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
1024.1,TRANSIT,5.1519999504089355,1.6319999694824219,8.408063888549805
1024.94,TRANSIT,5.1519999504089355,1.4800000190734863,7.624959945678711
1025.94,TRANSIT,5.168000221252441,1.184000015258789,6.118912220001221
1026.94,TRANSIT,5.168000221252441,1.1360000371932983,5.870848178863525
1027.94,TRANSIT,5.168000221252441,1.2079999446868896,6.24294376373291
1028.94,TRANSIT,5.159999847412109,1.25600004196167,6.480959892272949
1029.94,TRANSIT,5.159999847412109,1.3600000143051147,7.017600059509277
1030.94,DECISION,5.159999847412109,1.4639999866485596,7.5542402267456055
1031.94,DECISION,5.1519999504089355,1.6160000562667847,8.325632095336914
1032.94,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
1033.94,DECISION,5.1519999504089355,1.6480000019073486,8.490495681762695
1034.94,DECISION,5.1519999504089355,1.6399999856948853,8.44927978515625
1036.1,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1036.94,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1038.43,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
1038.94,TRANSIT,5.1519999504089355,1.5199999809265137,7.831039905548096
1039.97,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
