[INFO] [1775689691.909037675] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[INFO] [1775689694.918723781] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1775689694.920480107] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[TRTDetector] Engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260408_230811.csv
[WARN] [1775690634.254953358] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690639.302452701] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690644.352461408] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690649.401882343] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690654.449598661] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690659.498345423] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690664.543460953] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690669.592920155] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690674.641531113] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690679.695404097] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690684.746965709] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690689.796735263] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690694.848836199] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690699.898415593] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690704.937374901] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690709.985238127] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690715.035207938] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690720.084347696] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690725.134517462] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690730.186272678] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690735.235993129] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690740.285093345] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690745.331982984] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690750.380495657] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690755.430021473] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690755.453393700] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690755.454891151] [exp6_cnn_detection]:     Set up green_cylinder at 1.5 m under "normal" lighting. Press Enter ...
[WARN] [1775690760.484163206] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690765.533402283] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690770.582882678] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690775.635816413] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690780.685810151] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690785.735009512] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690790.782945762] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690795.832960605] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690800.883899307] [exp6_cnn_detection]: Camera timeout.
