[WARN] [1776189491.904588128] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189496.944064815] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189501.970560757] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189507.006971412] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189512.036957652] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189517.065365889] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189522.095395916] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189527.126286460] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189532.184572843] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189537.228361583] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189542.255639461] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189547.296700904] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189552.325407986] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189557.354403002] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189562.387850578] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189567.420184700] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189572.447927746] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189577.473890280] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189582.503263968] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189587.529439628] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189592.554302957] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776189592.561994611] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776189592.562894770] [exp6_cnn_detection]:   mAP (normal / green_cylinder) = 0.0000
[INFO] [1776189592.597924766] [exp6_cnn_detection]: 
  Condition: normal  Class: blue_sphere
[INFO] [1776189592.691336659] [exp6_cnn_detection]:     Set up blue_sphere at 0.5 m under "normal" lighting. Press Enter ...
[WARN] [1776189598.229628568] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189603.260918053] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189608.290179894] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189613.317667923] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189618.344783471] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189623.382534177] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189628.417726283] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189633.454494426] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189638.485258256] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189643.515216350] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189648.557448160] [exp6_cnn_detection]: Camera timeout.
