time_sec,true_intensity,detected_signal
36.200,83.4435,81.2760
36.300,83.4018,81.8587
36.400,83.3601,83.1173
36.500,83.3185,83.0230
36.600,83.2768,87.3804
36.700,83.2352,83.8290
36.800,83.1936,84.0953
36.900,83.1520,84.2624
37.000,83.1104,79.7898
37.100,83.0689,85.4489
37.200,83.0274,82.5565
37.300,82.9859,88.1856
37.400,82.9444,83.2190
37.500,82.9029,82.5067
37.600,82.8615,82.2719
37.700,82.8201,81.8563
37.800,82.7787,84.1693
37.900,82.7373,81.5772
38.000,82.6959,83.6510
38.100,82.6546,81.0487
38.200,82.6133,79.0875
38.300,82.5720,82.9301
38.400,82.5307,81.6547
38.500,82.4894,84.5740
38.600,82.4482,84.3357
38.700,82.4070,82.9774
38.800,82.3658,82.9570
38.900,82.3246,82.6179
39.000,82.2835,80.0270
39.100,82.2423,78.2742
39.200,82.2012,82.5033
39.300,82.1601,82.5625
39.400,82.1191,79.8444
39.500,82.0780,81.1276
39.600,82.0370,79.5733
39.700,81.9960,85.4131
39.800,81.9550,80.7794
39.900,81.9140,81.4813
40.000,81.8731,76.6285
40.100,81.8321,79.3782
40.200,81.7912,81.9970
40.300,81.7504,80.4017
40.400,81.7095,81.3712
40.500,81.6686,78.3195
40.600,81.6278,77.9155
40.700,81.5870,82.2369
40.800,81.5462,83.2544
40.900,81.5055,83.7892
41.000,81.4647,82.9699
41.100,81.4240,86.0592
41.200,81.3833,84.3353
41.300,81.3426,85.9186
41.400,81.3020,83.9157
41.500,81.2613,77.9019
41.600,81.2207,81.7434
41.700,81.1801,82.3744
41.800,81.1395,77.9083
41.900,81.0990,81.9478
42.000,81.0584,82.0150
42.100,81.0179,82.1687
42.200,80.9774,79.4797
42.300,80.9369,81.9331
42.400,80.8965,82.5939
42.500,80.8560,78.2091
42.600,80.8156,82.8446
42.700,80.7752,81.0059
42.800,80.7348,82.5774
42.900,80.6945,81.8689
43.000,80.6541,81.0277
43.100,80.6138,79.5361
43.200,80.5735,82.8498
43.300,80.5333,84.1916
43.400,80.4930,76.1454
43.500,80.4528,81.2048
43.600,80.4125,81.0642
43.700,80.3723,78.0901
43.800,80.3322,81.0422
43.900,80.2920,77.3161
44.000,80.2519,81.1407
44.100,80.2118,83.5632
44.200,80.1717,79.4889
44.300,80.1316,80.2240
44.400,80.0915,80.8819
44.500,80.0515,80.9187
44.600,80.0115,83.7651
44.700,79.9715,79.5659
44.800,79.9315,81.0796
44.900,79.8916,74.9520
45.000,79.8516,78.8784
45.100,79.8117,81.4879
45.200,79.7718,81.5288
45.300,79.7319,77.1336
45.400,79.6921,81.2075
45.500,79.6522,81.3905
45.600,79.6124,78.6608
45.700,79.5726,80.8017
45.800,79.5329,76.5265
45.900,79.4931,78.5524
46.000,79.4534,74.7621
46.100,79.4136,76.9187
46.200,79.3739,75.0241
46.300,79.3343,79.9595
46.400,79.2946,83.2461
46.500,79.2550,76.9238
46.600,79.2154,78.2280
46.700,79.1758,79.7884
46.800,79.1362,73.9856
46.900,79.0966,80.4561
47.000,79.0571,81.0097
47.100,79.0176,80.1301
47.200,78.9781,78.6643
47.300,78.9386,76.3172
47.400,78.8991,81.6060
47.500,78.8597,81.3305
47.600,78.8203,77.4409
47.700,78.7809,82.1370
47.800,78.7415,77.7677
47.900,78.7021,79.0617
48.000,78.6628,77.7329
48.100,78.6235,80.1423
48.200,78.5842,73.6242
48.300,78.5449,79.3997
48.400,78.5056,76.3604
48.500,78.4664,80.1798
48.600,78.4272,75.7791
48.700,78.3879,80.1165
48.800,78.3488,77.7728
48.900,78.3096,77.2638
49.000,78.2705,76.7150
49.100,78.2313,78.9092
49.200,78.1922,77.8126
49.300,78.1531,78.1689
49.400,78.1141,77.9354
49.500,78.0750,76.7334
49.600,78.0360,77.1586
49.700,77.9970,78.0943
49.800,77.9580,75.6553
49.900,77.9190,77.2454
50.000,77.8801,74.9442
50.100,77.8411,76.6140
50.200,77.8022,75.3445
50.300,77.7633,78.9081
50.400,77.7245,78.0304
50.500,77.6856,79.8099
50.600,77.6468,77.7825
50.700,77.6080,72.4309
50.800,77.5692,78.0869
50.900,77.5304,77.5920
51.000,77.4916,73.8692
51.100,77.4529,76.7807
51.200,77.4142,77.6940
51.300,77.3755,79.5860
51.400,77.3368,76.4950
51.500,77.2982,76.4302
51.600,77.2595,77.3730
51.700,77.2209,73.5800
51.800,77.1823,78.9410
51.900,77.1437,76.3895
52.000,77.1052,75.7359
52.100,77.0666,79.5725
52.200,77.0281,76.0016
52.300,76.9896,78.6033
52.400,76.9511,76.3193
52.500,76.9126,79.1981
52.600,76.8742,77.2209
52.700,76.8358,82.8911
52.800,76.7974,75.6309
52.900,76.7590,75.7232
53.000,76.7206,73.3828
53.100,76.6822,78.6320
53.200,76.6439,78.5604
53.300,76.6056,75.3692
53.400,76.5673,75.3766
53.500,76.5290,73.6066
53.600,76.4908,76.8680
53.700,76.4525,79.0698
53.800,76.4143,74.6962
53.900,76.3761,78.2434
54.000,76.3379,72.1831
54.100,76.2998,76.3855
54.200,76.2616,76.2663
54.300,76.2235,76.8494
54.400,76.1854,76.8383
54.500,76.1473,77.9136
54.600,76.1093,82.5341
54.700,76.0712,75.9972
54.800,76.0332,70.9284
54.900,75.9952,74.5933
55.000,75.9572,76.3716
55.100,75.9192,75.7898
55.200,75.8813,73.6692
55.300,75.8434,75.7726
55.400,75.8054,76.8186
55.500,75.7676,75.9424
55.600,75.7297,74.5674
55.700,75.6918,77.0737
55.800,75.6540,76.8229
55.900,75.6162,76.6960
56.000,75.5784,72.6046
56.100,75.5406,75.0201
56.200,75.5028,73.4054
56.300,75.4651,73.1830
56.400,75.4274,76.7633
56.500,75.3897,76.7958
56.600,75.3520,73.9589
56.700,75.3143,72.4746
56.800,75.2767,75.8366
56.900,75.2390,77.4644
57.000,75.2014,74.5170
57.100,75.1638,78.3654
57.200,75.1263,78.6512
57.300,75.0887,79.8360
57.400,75.0512,73.1359
57.500,75.0137,76.8696
57.600,74.9762,70.9781
57.700,74.9387,67.7260
57.800,74.9012,76.4920
57.900,74.8638,73.7921
58.000,74.8264,75.1823
58.100,74.7890,76.1237
58.200,74.7516,72.3131
58.300,74.7142,74.3687
58.400,74.6769,71.7317
58.500,74.6395,73.7160
58.600,74.6022,77.4694
58.700,74.5649,75.5610
58.800,74.5276,70.3882
58.900,74.4904,75.1830
59.000,74.4532,73.2176
59.100,74.4159,76.6799
59.200,74.3787,73.6120
59.300,74.3416,74.3321
59.400,74.3044,75.4154
59.500,74.2673,75.1118
59.600,74.2301,69.7399
59.700,74.1930,72.1583
59.800,74.1559,77.0387
59.900,74.1189,75.8146
60.000,74.0818,72.4809
60.100,74.0448,75.9778
60.200,74.0078,77.9616
60.300,73.9708,77.3761
60.400,73.9338,69.6452
60.500,73.8968,79.6160
60.600,73.8599,75.6153
60.700,73.8230,80.8754
60.800,73.7861,71.7990
